Respondent,FormalEducation,EducationAfterEighthGrade,UndergradMajor,CompanySize,YearsCoding,JobSatisfaction,JobSatisfactionNum,LanguageWorkedWith,DatabaseWorkedWith,FrameworkWorkedWith,IDE,NumberMonitors,Methodology,EthicsChoice,StackOverflowVisit,StackOverflowVisit,WakeTime,HoursComputer,SkipMealsWeek,ExerciseWeek,Gender,RaceEthnicity,Age, Salary 
75,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,NA,24,3,Extremely dissatisfied,0,JavaScript;PHP;SQL;CSS;Bash/Shell,MySQL,NA,Atom,1,NA,No,A few times per month or weekly,15,4,2,2,0,Male,White or of European descent,33,48000
13163,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",8123,6,Slightly dissatisfied,2,Python;R;SQL;HTML;CSS,SQL Server;MySQL;PostgreSQL;SQLite,NA,Atom;IPython / Jupyter;RStudio;Sublime Text,2,Pair programming,No,A few times per month or weekly,33,4,2,2,0,Male,South Asian,31,90000
96467,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,NA,11384,1,Slightly dissatisfied,2,JavaScript;HTML;CSS,NA,NA,Notepad++,2,NA,Depends on what it is,A few times per week,69,4,2,0,3,Male,White or of European descent,38,70000
56957,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",34,1,Slightly satisfied,3,Java;JavaScript;Visual Basic 6,MySQL,NA,Eclipse;Visual Studio,2,Extreme programming (XP),Depends on what it is,A few times per week,56,4,2,0,7,Male,White or of European descent,40,180000
45899,Some college/university study without earning a degree,5,"Fine arts or performing arts (ex. graphic design, music, studio art)",20,1,Moderately satisfied,4,JavaScript;Objective-C;Python;Swift;HTML;CSS,Oracle,NA,Atom;Sublime Text;Xcode,1,NA,No,Daily or almost daily,315,4,2,0,4,Male,White or of European descent,35,358956
27604,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Information systems, information technology, or system administration",18623,15,Slightly satisfied,3,Assembly;C;C++;Java;JavaScript;HTML;CSS;Bash/Shell,MongoDB;Redis,Angular;Node.js;React;Spring,Vim,2,Agile;Formal standard such as ISO 9001 or IEEE 12207 (aka â€œwaterfallâ€ methodologies);Pair programming;Scrum,No,Daily or almost daily,356,4,2,2,0,Male,White or of European descent,38,210000
4911,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Fine arts or performing arts (ex. graphic design, music, studio art)",1902,15,Moderately satisfied,4,SQL;HTML,MySQL,NA,Visual Studio,2,NA,No,A few times per month or weekly,12,5,2,0,0,Male,White or of European descent,33,75000
23102,Some college/university study without earning a degree,5,"Computer science, computer engineering, or software engineering",7,1,Slightly satisfied,3,JavaScript;PHP;SQL;HTML;CSS,MySQL,NA,Sublime Text,2,NA,No,A few times per month or weekly,29,5,2,0,6,Male,White or of European descent,54,107500
21954,Associate degree,6,NA,14888,1,Extremely dissatisfied,3,JavaScript;HTML;CSS,NA,NA,Atom,1,Pair programming,No,A few times per week,91,5,2,0,7,Male,White or of European descent,26,170000
91122,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Another engineering discipline (ex. civil, electrical, mechanical)",18,18,Extremely satisfied,5,CoffeeScript;JavaScript;Objective-C;Ruby;SQL;Swift;Kotlin;HTML;CSS;Bash/Shell,"Redis;SQL Server;PostgreSQL;Memcached;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Angular;Node.js;React;Cordova,Android Studio;Sublime Text;Vim;Xcode,2,Agile;Pair programming,Depends on what it is,A few times per week,98,5,2,2,3,Male,White or of European descent,33,175000
65355,Some college/university study without earning a degree,5,"Information systems, information technology, or system administration",794,24,Extremely satisfied,5,JavaScript;Python;R;SQL;VB.NET;HTML,SQL Server;MySQL,.NET Core,IPython / Jupyter;Notepad++;Visual Studio Code,2,Agile;Scrum,No,A few times per week,139,5,2,0,3,Male,NA,46,74000
87786,Some college/university study without earning a degree,5,"A business discipline (ex. accounting, finance, marketing)",386,3,Moderately satisfied,4,Java;JavaScript;Scala;SQL;Bash/Shell,Cassandra;Redis;MySQL;Apache Hive,Hadoop;Spark;Spring,IntelliJ;Sublime Text;Vim,2,Agile;Pair programming;Scrum,No,A few times per week,64,5,2,7,6,Male,NA,51,90000
71975,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Fine arts or performing arts (ex. graphic design, music, studio art)",417,3,Moderately dissatisfied,1,JavaScript;HTML;CSS,MySQL,NA,Visual Studio Code,3,Agile,No,A few times per week,125,5,2,0,6,Male,White or of European descent,33,57000
53310,"Masterâ€™s degree (MA, MS, M.Eng., MBA, etc.)",10,"Computer science, computer engineering, or software engineering",9290,24,Slightly satisfied,3,C;C++;Java;JavaScript;Python;Ruby;SQL;HTML;Bash/Shell,MongoDB;MySQL;Elasticsearch,Hadoop;Spark,Atom;IPython / Jupyter;Vim,3,Agile;Scrum,No,A few times per week,82,5,2,0,0,Male,White or of European descent,26,100000
67567,"Bachelorâ€™s degree (BA, BS, B.Eng., etc.)",8,"Information systems, information technology, or system administration",181,6,Moderately satisfied,4,JavaScript;PHP;Python;SQL;Cobol;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;SQLite;MariaDB;IBM Db2,.NET Core,Notepad++;PHPStorm,2,Agile,No,Daily or almost daily,267,5,2,4,0,Male,NA,40,50000
